model,cost_fp_assumed,cost_fn_assumed,false_positives,false_negatives,true_positives,true_negatives,total_assumed_cost,mean_assumed_cost_per_transaction,cost_optimal_threshold,precision,recall
Logistic Regression,5.0,50,66,15,83,56798,1080.0,0.01896000842667041,0.9931487626509038,0.5570469798657718,0.8469387755102041
Logistic Regression,5.0,100,66,15,83,56798,1830.0,0.032126680945191534,0.9931487626509038,0.5570469798657718,0.8469387755102041
Logistic Regression,5.0,200,205,11,87,56659,3225.0,0.05661669182964081,0.9443256716701751,0.2979452054794521,0.8877551020408163
Logistic Regression,5.0,500,205,11,87,56659,6525.0,0.11455005091113374,0.9443256716701751,0.2979452054794521,0.8877551020408163
Random Forest,5.0,50,70,10,88,56794,850.0,0.014922228854323935,0.08,0.5569620253164557,0.8979591836734694
Random Forest,5.0,100,70,10,88,56794,1350.0,0.023700010533338013,0.08,0.5569620253164557,0.8979591836734694
Random Forest,5.0,200,70,10,88,56794,2350.0,0.04125557389136617,0.08,0.5569620253164557,0.8979591836734694
Random Forest,5.0,500,70,10,88,56794,5350.0,0.09392226396545066,0.08,0.5569620253164557,0.8979591836734694
XGBoost,5.0,50,63,12,86,56801,915.0,0.016063340472595767,0.011466713108854018,0.5771812080536913,0.8775510204081632
XGBoost,5.0,100,63,12,86,56801,1515.0,0.02659667848741266,0.011466713108854018,0.5771812080536913,0.8775510204081632
XGBoost,5.0,200,63,12,86,56801,2715.0,0.04766335451704645,0.011466713108854018,0.5771812080536913,0.8775510204081632
XGBoost,5.0,500,204,10,88,56660,6020.0,0.10568449141532951,0.0014665441325683783,0.3013698630136986,0.8979591836734694
RXT (ResNeXt-GRU),5.0,50,67,16,82,56797,1135.0,0.01992556441136196,0.9754740445492847,0.5503355704697986,0.8367346938775511
RXT (ResNeXt-GRU),5.0,100,67,16,82,56797,1935.0,0.03397001509778449,0.9754740445492847,0.5503355704697986,0.8367346938775511
RXT (ResNeXt-GRU),5.0,200,67,16,82,56797,3535.0,0.06205891647062954,0.9754740445492847,0.5503355704697986,0.8367346938775511
RXT (ResNeXt-GRU),5.0,500,350,13,85,56514,8250.0,0.14483339770373233,0.597959177742052,0.19540229885057472,0.8673469387755102
