feature,n_appearances,mean_weight,std_weight
V4,20,0.007073005387177434,0.0006638580414604911
V17,20,0.007407945652330733,0.0005480658718921395
V14,20,0.0063249033055004554,0.0005220107921594984
V12,20,0.0065033284530750055,0.0004429881111080656
V3,20,0.0042666625596703535,0.0006364236115459935
V16,20,0.0032363303519217894,0.00039209305934508444
V10,20,0.003611973507442308,0.00037672716114288255
V11,20,0.003619081128850348,0.0005643383544447988
V2,18,0.0025704728280513006,0.0003521340797718206
V9,10,0.002367944747544786,0.0002134364534018933
V21,3,0.002354873346436095,0.00010078357335462237
V7,2,0.00233552862038548,0.00013976754694529445
V22,2,0.0022618489270764056,0.00017195347049248555
V5,1,0.0023269201788455826,0.0
V19,1,0.0022484325461419497,0.0
Time,1,0.002412205026908351,0.0
V20,1,0.0021264139125117096,0.0
V6,1,0.002158647859507869,0.0
