feature,n_appearances,mean_weight,std_weight
Amount,20,-0.025417917491117114,0.003012586383082338
V26,20,-0.015612305915439797,0.003497285202964886
V1,18,-0.01122297635727004,0.0021261479946781095
V18,17,0.013994444626491303,0.0030994893975259366
V17,17,0.013003661043511609,0.002310464256230781
V16,14,0.01263745144329896,0.003705000151583946
V3,11,-0.011302565757016717,0.0026899183621633834
V2,11,0.010745555528986652,0.002500365213463615
V12,8,0.011177889297720789,0.0023760402831098375
V4,8,0.009148189264488241,0.0021104251126302337
V27,7,0.011700925013436734,0.0041797541917398305
V23,6,0.010058127108770897,0.0019134213893836577
V14,6,0.010716994376922945,0.003678707755980668
V28,5,0.008834837290335965,0.0024123357862661852
V21,5,0.010039486668668541,0.001796838915051137
V7,4,0.0007254343365077904,0.007779045238694002
V5,3,0.003867600607761097,0.008443808509701565
V11,3,-0.008840892363655057,0.0009789520970250184
Time,3,0.008205025591978369,0.0005124571517381385
V25,2,-0.007279379558135839,0.0012075935468359232
V6,2,0.007552872086869132,2.9284198400387346e-06
V19,2,-0.008398966053537415,0.00035256789288907586
V22,2,-8.906831508818415e-05,0.006959765469377961
V13,2,0.011521559410492998,0.001918750375528776
V8,1,-0.007122114816677834,0.0
V24,1,-0.010879948999237091,0.0
V15,1,0.009316629411590383,0.0
V9,1,0.006720910651086046,0.0
