model,k,k_used,true_positives_in_top_k,precision_at_k,recall_at_k,total_fraud_in_test_set
Logistic Regression,50,50,40,0.8,0.40816326530612246,98
Logistic Regression,100,100,80,0.8,0.8163265306122449,98
Logistic Regression,500,500,87,0.174,0.8877551020408163,98
Random Forest,50,50,48,0.96,0.4897959183673469,98
Random Forest,100,100,82,0.82,0.8367346938775511,98
Random Forest,500,500,88,0.176,0.8979591836734694,98
XGBoost,50,50,50,1.0,0.5102040816326531,98
XGBoost,100,100,82,0.82,0.8367346938775511,98
XGBoost,500,500,88,0.176,0.8979591836734694,98
RXT (ResNeXt-GRU),50,50,31,0.62,0.3163265306122449,98
RXT (ResNeXt-GRU),100,100,50,0.5,0.5102040816326531,98
RXT (ResNeXt-GRU),500,500,80,0.16,0.8163265306122449,98
